timestamp,query_type,zone_id,zone_b,cache_status,cache_key,latency_ms
1780377488.2772493,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.9238719940185547
1780377488.2792947,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,1.3995170593261719
1780377488.2807052,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.8282661437988281
1780377488.2821648,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,0.9093284606933594
1780377488.2835834,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.8382797241210938
1780377488.2853365,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.0,1.0499954223632812
1780377488.2865818,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.5,0.7081031799316406
1780377488.2879322,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.0,0.8602142333984375
1780377488.2890499,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.5,0.6582736968994141
1780377488.2904234,Q3,Z5,,HIT,Q3:zone=Z5:conf=0.0,0.8707046508789062
1780377488.291698,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.732421875
1780377488.2928662,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,0.6496906280517578
1780377488.2943122,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.8044242858886719
1780377488.295892,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.9748935699462891
1780377488.2970817,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.5919933319091797
1780377488.298192,Q5,Z4,,HIT,Q5:zone=Z4:bins=10,0.6461143493652344
1780377488.3009796,Q1,Z5,,MISS,Q1:zone=Z5:conf=0.5,2.5954246520996094
1780377488.3019888,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.5195140838623047
1780377488.3031363,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.6604194641113281
1780377488.3063943,Q4,Z1,Z2,MISS,Q4:zone_a=Z1:zone_b=Z2:conf=0.5,3.038167953491211
1780377488.3073645,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.7,0.5125999450683594
1780377488.3085809,Q4,Z1,Z2,HIT,Q4:zone_a=Z1:zone_b=Z2:conf=0.5,0.7503032684326172
1780377488.3253567,Q5,Z3,,MISS,Q5:zone=Z3:bins=5,16.516447067260742
1780377488.3266296,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.0,0.6251335144042969
1780377488.327879,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.7,0.7598400115966797
1780377488.3325884,Q2,Z3,,MISS,Q2:zone=Z3:conf=0.5,4.502296447753906
1780377488.333621,Q2,Z3,,HIT,Q2:zone=Z3:conf=0.5,0.5424022674560547
1780377488.3351316,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.5,1.0449886322021484
1780377488.3365033,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.7,0.7665157318115234
1780377488.3379335,Q5,Z1,,HIT,Q5:zone=Z1:bins=10,0.7674694061279297
1780377488.3390472,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.7,0.4913806915283203
1780377488.3403246,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.5,0.8111000061035156
1780377488.3414545,Q2,Z4,,HIT,Q2:zone=Z4:conf=0.5,0.5652904510498047
